,comparisons,doi,assessment_result
0,http://orkg.org/orkg/resource/R140347,10.48366/r140347,"[{'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
1,http://orkg.org/orkg/resource/R140449,10.48366/r140449,"[{'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
2,http://orkg.org/orkg/resource/R140463,10.48366/r140463,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
3,http://orkg.org/orkg/resource/R140465,10.48366/r140465,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
4,http://orkg.org/orkg/resource/R140714,10.48366/r140714,"[{'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
5,http://orkg.org/orkg/resource/R140726,10.48366/r140726,"[{'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}]"
6,http://orkg.org/orkg/resource/R141123,10.48366/r141123,"[{'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'searchable', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}]"
7,http://orkg.org/orkg/resource/R141317,10.48366/r141317,"[{'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
8,http://orkg.org/orkg/resource/R141336,10.48366/r141336,"[{'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'unique_identifier', 'score': '1'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
9,http://orkg.org/orkg/resource/R141349,10.48366/r141349,"[{'metric': 'unique_identifier', 'score': '1'}, {'metric': 'structured_metadata', 'score': '1'}, {'metric': 'metadata_kr_language_weak', 'score': '1'}, {'metric': 'metadata_identifier_persistence', 'score': '1'}, {'metric': 'metadata_protocol', 'score': '1'}, {'metric': 'data_protocol', 'score': '0'}, {'metric': 'data_identifier_persistence', 'score': '0'}, {'metric': 'metadata_uses_fair_vocabularies_strong', 'score': '0'}, {'metric': 'grounded_metadata', 'score': '1'}, {'metric': 'metadata_identifier_in_metadata', 'score': '0'}, {'metric': 'data_kr_language_strong', 'score': '0'}, {'metric': 'metadata_persistence', 'score': '0'}, {'metric': 'data_kr_language_weak', 'score': '0'}, {'metric': 'data_authorization', 'score': '0'}, {'metric': 'metadata_authorization', 'score': '1'}, {'metric': 'metadata_kr_language_strong', 'score': '1'}, {'metric': 'metadata_contains_outward_links', 'score': '1'}, {'metric': 'data_identifier_in_metadata', 'score': '0'}, {'metric': 'metadata_includes_license_strong', 'score': '0'}, {'metric': 'metadata_includes_license_weak', 'score': '1'}, {'metric': 'metadata_uses_fair_vocabularies_weak', 'score': '1'}, {'metric': 'searchable', 'score': '0'}]"
